deal_num,side,lot,price
2,buy,0.03,2039.44
3,sell,0.03,2047.09
4,buy,0.03,2042.98
5,sell,0.03,2033.14
6,buy,0.03,2050.55
7,sell,0.03,2053.77
8,buy,0.03,2051.49
9,sell,0.03,2021.49
10,buy,0.03,2026.23
11,sell,0.03,2029.69
12,buy,0.03,2024.16
13,sell,0.03,2018.61
14,buy,0.03,2015.64
15,sell,0.03,2019.99
16,buy,0.03,2018.01
17,sell,0.03,2027.35
18,buy,0.03,2025.91
19,sell,0.03,2037.38
20,buy,0.03,2040.99
21,sell,0.03,2046.02
22,buy,0.03,2023.88
23,sell,0.03,2026.7
24,buy,0.03,2033.2
25,sell,0.03,2032.45
26,buy,0.03,2031.69
27,sell,0.03,2001.69
28,buy,0.03,1999.23
29,sell,0.03,2009.91
30,buy,0.03,2023.18
31,sell,0.03,2026.83
32,buy,0.03,2024.33
33,sell,0.03,2026.96
34,buy,0.03,2027.51
35,sell,0.03,2026.9
36,buy,0.03,2024.45
37,sell,0.03,2027.69
38,buy,0.03,2032.73
39,sell,0.03,2034.58
40,buy,0.03,2031.68
41,sell,0.03,2043.9
42,buy,0.03,2039.9
43,sell,0.03,2099.9
44,buy,0.03,2124.84
45,sell,0.03,2184.84
46,buy,0.03,2177.27
47,sell,0.03,2163.41
48,buy,0.03,2168.95
49,sell,0.03,2164.52
50,buy,0.03,2155.11
51,sell,0.03,2161.07
52,buy,0.03,2166.0
53,sell,0.03,2171.47
54,buy,0.03,2171.43
55,sell,0.03,2173.04
56,buy,0.03,2176.91
57,sell,0.03,2180.05
58,buy,0.03,2237.02
59,sell,0.03,2250.65
60,buy,0.03,2269.58
61,sell,0.03,2283.8
62,buy,0.03,2291.69
63,sell,0.03,2299.47
64,buy,0.03,2285.02
65,sell,0.03,2288.11
66,buy,0.03,2320.29
67,sell,0.03,2337.91
68,buy,0.03,2340.46
69,sell,0.03,2353.14
70,buy,0.03,2347.77
71,sell,0.03,2343.28
72,buy,0.03,2369.37
73,sell,0.03,2339.37
74,buy,0.03,2365.68
75,sell,0.03,2385.2
76,buy,0.03,2381.68
77,sell,0.03,2377.12
78,buy,0.03,2379.75
79,sell,0.03,2389.47
80,buy,0.03,2381.45
81,sell,0.03,2390.82
82,buy,0.03,2387.17
83,sell,0.03,2357.17
84,buy,0.03,2316.98
85,sell,0.03,2325.03
86,buy,0.03,2330.4
87,sell,0.03,2300.4
88,buy,0.03,2294.05
89,sell,0.03,2318.41
90,buy,0.03,2312.2
91,sell,0.03,2316.53
92,buy,0.03,2312.76
93,sell,0.03,2314.19
94,buy,0.03,2310.52
95,sell,0.03,2370.52
96,buy,0.03,2361.39
97,sell,0.03,2343.42
98,buy,0.03,2383.36
99,sell,0.03,2383.55
100,buy,0.03,2410.09
101,sell,0.03,2435.37
102,buy,0.03,2424.9
103,sell,0.03,2425.5
104,buy,0.03,2335.03
105,sell,0.03,2337.83
106,buy,0.03,2354.13
107,sell,0.03,2324.13
108,buy,0.03,2340.45
109,sell,0.03,2330.81
110,buy,0.03,2339.78
111,sell,0.03,2365.09
112,buy,0.03,2299.77
113,sell,0.03,2307.97
114,buy,0.03,2312.96
115,sell,0.03,2310.11
116,buy,0.03,2325.6
117,sell,0.03,2321.09
118,buy,0.03,2318.55
119,sell,0.03,2326.74
120,buy,0.03,2349.56
121,sell,0.03,2319.56
122,buy,0.03,2327.15
123,sell,0.03,2332.76
124,buy,0.03,2324.26
125,sell,0.03,2294.26
126,buy,0.03,2326.75
127,sell,0.03,2329.47
128,buy,0.03,2371.31
129,sell,0.03,2411.84
130,buy,0.03,2407.17
131,sell,0.03,2410.72
132,buy,0.03,2459.93
133,sell,0.03,2467.63
134,buy,0.03,2393.88
135,sell,0.03,2403.59
136,buy,0.03,2408.46
137,sell,0.03,2378.46
138,buy,0.03,2388.01
139,sell,0.03,2386.75
140,buy,0.03,2438.96
141,sell,0.03,2451.02
142,buy,0.03,2408.65
143,sell,0.03,2411.14
144,buy,0.03,2389.92
145,sell,0.03,2395.97
146,buy,0.03,2426.17
147,sell,0.03,2430.33
148,buy,0.03,2461.5
149,sell,0.03,2465.76
150,buy,0.03,2464.73
151,sell,0.03,2468.35
152,buy,0.03,2450.96
153,sell,0.03,2454.41
154,buy,0.03,2437.88
155,sell,0.03,2458.45
156,buy,0.03,2452.58
157,sell,0.03,2503.43
158,buy,0.03,2509.18
159,sell,0.03,2516.44
160,buy,0.03,2507.18
161,sell,0.03,2477.18
162,buy,0.03,2514.54
163,sell,0.03,2520.15
164,buy,0.03,2516.29
165,sell,0.03,2520.04
166,buy,0.03,2514.95
167,sell,0.03,2516.34
168,buy,0.03,2515.24
169,sell,0.03,2502.05
170,buy,0.03,2499.09
171,sell,0.03,2500.88
172,buy,0.03,2492.38
173,sell,0.03,2492.91
174,buy,0.03,2487.6
175,sell,0.03,2502.24
176,buy,0.03,2504.52
177,sell,0.03,2516.6
178,buy,0.03,2581.52
179,sell,0.03,2585.05
180,buy,0.03,2579.76
181,sell,0.03,2583.76
182,buy,0.03,2580.24
183,sell,0.03,2573.78
184,buy,0.03,2568.75
185,sell,0.03,2576.24
186,buy,0.03,2569.4
187,sell,0.03,2574.87
188,buy,0.03,2616.97
189,sell,0.03,2622.7
190,buy,0.03,2626.08
191,sell,0.03,2659.1
192,buy,0.03,2652.79
193,sell,0.03,2659.08
194,buy,0.03,2655.38
