Open Time,Order,Symbol,Type,Volume,Price,S/L,T/P,Time,State,Comment
2024.10.14 09:30:00,2,XAUUSDc,buy,8.13 / 8.13,0.00,2585.82,,2024.10.14 09:30:00,filled,systematic-v1 BUY
2024.10.22 20:15:00,3,XAUUSDc,sell,8.13 / 8.13,0.00,,,2024.10.22 20:15:00,filled,
2024.10.22 20:15:00,4,XAUUSDc,buy,8.62 / 8.62,0.00,2666.60,,2024.10.22 20:15:00,filled,systematic-v1 BUY
2024.10.23 18:15:00,5,XAUUSDc,sell,8.62 / 8.62,0.00,,,2024.10.23 18:15:00,filled,
2024.10.29 15:45:00,6,XAUUSDc,buy,8.36 / 8.36,0.00,2680.80,,2024.10.29 15:45:00,filled,systematic-v1 BUY
2024.10.31 16:30:00,7,XAUUSDc,sell,8.36 / 8.36,0.00,,,2024.10.31 16:30:00,filled,
2024.11.19 12:30:00,8,XAUUSDc,buy,8.27 / 8.27,0.00,2554.84,,2024.11.19 12:30:00,filled,systematic-v1 BUY
2024.11.25 01:30:00,9,XAUUSDc,sell,8.27 / 8.27,0.00,,,2024.11.25 01:30:00,filled,
2024.11.25 01:30:00,10,XAUUSDc,buy,8.8 / 8.8,0.00,2638.11,,2024.11.25 01:30:00,filled,systematic-v1 BUY
2024.11.25 05:30:00,11,XAUUSDc,sell,8.8 / 8.8,0.00,,,2024.11.25 05:30:00,filled,
2024.12.05 16:00:00,12,XAUUSDc,buy,8.46 / 8.46,0.00,2569.18,,2024.12.05 16:00:00,filled,systematic-v1 BUY
2024.12.12 17:45:00,13,XAUUSDc,sell,8.46 / 8.46,0.00,,,2024.12.12 17:45:00,filled,
2025.01.02 12:30:00,14,XAUUSDc,buy,8.61 / 8.61,0.00,2565.08,,2025.01.02 12:30:00,filled,systematic-v1 BUY
2025.01.21 04:45:00,15,XAUUSDc,sell,8.61 / 8.61,0.00,,,2025.01.21 04:45:00,filled,
2025.01.21 04:45:00,16,XAUUSDc,buy,9.09 / 9.09,0.00,2645.58,,2025.01.21 04:45:00,filled,systematic-v1 BUY
2025.01.27 19:15:00,17,XAUUSDc,sell,9.09 / 9.09,0.00,,,2025.01.27 19:15:00,filled,
2025.01.29 16:00:00,18,XAUUSDc,buy,9.1 / 9.1,0.00,2678.94,,2025.01.29 16:00:00,filled,systematic-v1 BUY
2025.02.04 16:45:00,19,XAUUSDc,sell,9.1 / 9.1,0.00,,,2025.02.04 16:45:00,filled,
2025.02.04 16:45:00,20,XAUUSDc,buy,9.66 / 9.66,0.00,2760.28,,2025.02.04 16:45:00,filled,systematic-v1 BUY
2025.02.11 01:45:00,21,XAUUSDc,sell,9.66 / 9.66,0.00,,,2025.02.11 01:45:00,filled,
2025.02.11 01:45:00,22,XAUUSDc,buy,10.26 / 10.26,0.00,2841.82,,2025.02.11 01:45:00,filled,systematic-v1 BUY
2025.02.14 19:45:00,23,XAUUSDc,sell,10.26 / 10.26,0.00,,,2025.02.14 19:45:00,filled,
2025.02.19 11:30:00,24,XAUUSDc,buy,9.94 / 9.94,0.00,2866.09,,2025.02.19 11:30:00,filled,systematic-v1 BUY
